id,sender,subject,content,category,is_relevant,timestamp
1,ganhe@dinheiro.com,Você foi selecionado para um prêmio,"🚨 URGENTE 🚨

Você foi selecionado para um prêmio

Não perca esta chance única!

Confirme seus dados: site-falso.com",spam,0,2025-06-30T19:11:57.247236
2,promocoes@loja.com,Oferta especial para você,"Olá!

Oferta especial para você

Válido até 2025-07-20.

Compre agora!",promocional,0,2025-06-20T11:26:23.065905
3,ofertas@marketplace.com,50% OFF em todos os produtos!,"Olá!

50% OFF em todos os produtos!

Válido até 2025-07-29.

Compre agora!",promocional,0,2025-07-07T10:46:44.290332
4,newsletter@empresa.com,Cashback de 20% em compras - Clique aqui para receber seu prêmio,"Olá!

Cashback de 20% em compras

Válido até 2025-07-15.

Compre agora!",promocional,0,2025-06-23T11:40:00.825213
5,promocoes@loja.com,Cashback de 20% em compras,"🎉 Cashback de 20% em compras 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-07-08T15:42:45.917893
6,ofertas@marketplace.com,Cupom de desconto exclusivo,"Olá!

Cupom de desconto exclusivo

Válido até 2025-07-29.

Compre agora!",promocional,0,2025-06-10T03:56:45.912313
7,premio@sorteio.com,Ganhe dinheiro trabalhando em casa,"Você foi SELECIONADO!

Ganhe dinheiro trabalhando em casa

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-07-03T18:39:54.643056
8,newsletter@empresa.com,Cashback de 20% em compras,"🎉 Cashback de 20% em compras 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-21T14:28:21.533389
9,joao@hotmail.com,Lembrete: consulta médica,"Oi!

Tudo bem? lembrete: consulta médica

Me avisa se pode!

Abraços,
Juliana",pessoal,1,2025-07-04T21:41:33.556415
10,joao@hotmail.com,Parabéns pelo novo emprego!,"Oi!

Parabéns pelo novo emprego!

Espero sua resposta!

Beijos,
Dom",pessoal,1,2025-06-11T07:59:33.338331
11,gerente@empresa.com,Revisão de código necessária,"Prezado(a),

Segue em anexo os documentos relacionados a revisão de código necessária.

Qualquer dúvida, estou à disposição.

Cordialmente,
Sarah Duarte",importante,1,2025-06-16T04:25:58.078656
12,ofertas@marketplace.com,Promoção relâmpago - Apenas hoje,"🎉 Promoção relâmpago - Apenas hoje 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-28T12:22:46.250830
13,joao@hotmail.com,Parabéns pelo novo emprego!,"Olá querido(a),

Lembrete: parabéns pelo novo emprego!

Nos vemos em breve!

Com carinho,
Davi Lucas",pessoal,1,2025-06-30T09:19:00.302822
14,promocoes@loja.com,Liquidação de fim de estoque - PARABÉNS! Você ganhou R$ 10.000!,"🎉 Liquidação de fim de estoque 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-20T15:56:56.540344
15,ganhe@dinheiro.com,Você foi selecionado para um prêmio,"Você foi SELECIONADO!

Você foi selecionado para um prêmio

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-07-05T04:32:46.710796
16,promocoes@loja.com,Cupom de desconto exclusivo,"🎉 Cupom de desconto exclusivo 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-15T00:10:21.036437
17,joao@hotmail.com,Fotos das férias em família,"Oi!

Fotos das férias em família

Espero sua resposta!

Beijos,
Vicente",pessoal,1,2025-07-02T10:48:15.858062
18,joao@hotmail.com,Parabéns pelo novo emprego! - Reunião de projeto amanhã às 14h,"Oi!

Tudo bem? parabéns pelo novo emprego!

Me avisa se pode!

Abraços,
Kaique",pessoal,1,2025-06-19T08:36:47.505716
19,ofertas@marketplace.com,50% OFF em todos os produtos!,"Olá!

50% OFF em todos os produtos!

Válido até 2025-07-23.

Compre agora!",promocional,0,2025-06-14T17:02:24.835639
20,newsletter@empresa.com,Cupom de desconto exclusivo,"Promoção especial para você!

Cupom de desconto exclusivo

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-06-12T09:31:39.939764
21,cliente@cliente.com,Cliente solicitou alterações,"Prezado(a),

Segue em anexo os documentos relacionados a cliente solicitou alterações.

Qualquer dúvida, estou à disposição.

Cordialmente,
Lucas Moreira",importante,1,2025-06-26T14:17:12.788816
22,newsletter@empresa.com,50% OFF em todos os produtos! - Deadline do projeto movido,"Olá!

50% OFF em todos os produtos!

Válido até 2025-07-12.

Compre agora!",promocional,0,2025-07-04T16:08:46.293551
23,naoresponda@spam.com,Você foi selecionado para um prêmio,"🚨 URGENTE 🚨

Você foi selecionado para um prêmio

Não perca esta chance única!

Confirme seus dados: site-falso.com",spam,0,2025-07-05T01:02:59.008769
24,ganhe@dinheiro.com,PARABÉNS! Você ganhou R$ 10.000!,"PARABÉNS!!!

PARABÉNS! Você ganhou R$ 10.000!

Clique no link abaixo AGORA!

www.site-suspeito.com/premio",spam,0,2025-06-29T12:45:36.990665
25,joao@hotmail.com,Reunião de família no domingo,"Olá querido(a),

Lembrete: reunião de família no domingo

Nos vemos em breve!

Com carinho,
Gustavo Henrique",pessoal,1,2025-06-22T01:06:41.069422
26,maria@gmail.com,Que tal um almoço amanhã?,"Oi!

Que tal um almoço amanhã?

Espero sua resposta!

Beijos,
Vitória",pessoal,1,2025-06-18T23:55:03.482619
27,newsletter@empresa.com,Cashback de 20% em compras,"Olá!

Cashback de 20% em compras

Válido até 2025-07-28.

Compre agora!",promocional,0,2025-07-08T06:43:07.540015
28,maria@gmail.com,Fotos das férias em família,"Oi!

Tudo bem? fotos das férias em família

Me avisa se pode!

Abraços,
Igor",pessoal,1,2025-06-15T20:51:31.162153
29,premio@sorteio.com,PARABÉNS! Você ganhou R$ 10.000!,"PARABÉNS!!!

PARABÉNS! Você ganhou R$ 10.000!

Clique no link abaixo AGORA!

www.site-suspeito.com/premio",spam,0,2025-07-02T08:23:17.051191
30,maria@gmail.com,Fotos das férias em família,"Olá querido(a),

Lembrete: fotos das férias em família

Nos vemos em breve!

Com carinho,
Davi Luiz",pessoal,1,2025-06-26T15:16:47.201709
31,joao@hotmail.com,Reunião de família no domingo,"Oi!

Reunião de família no domingo

Espero sua resposta!

Beijos,
Rodrigo",pessoal,1,2025-07-08T13:06:50.308052
32,newsletter@empresa.com,50% OFF em todos os produtos!,"Promoção especial para você!

50% OFF em todos os produtos!

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-06-10T15:22:01.311675
33,naoresponda@spam.com,Você foi selecionado para um prêmio,"Você foi SELECIONADO!

Você foi selecionado para um prêmio

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-07-03T13:52:19.862649
34,maria@gmail.com,Que tal um almoço amanhã?,"Olá querido(a),

Lembrete: que tal um almoço amanhã?

Nos vemos em breve!

Com carinho,
Isadora",pessoal,1,2025-06-11T16:09:07.520383
35,ofertas@marketplace.com,Cupom de desconto exclusivo,"Olá!

Cupom de desconto exclusivo

Válido até 2025-07-18.

Compre agora!",promocional,0,2025-06-30T18:24:24.242565
36,projeto@empresa.com,Cliente solicitou alterações,"Olá,

Espero que esteja bem. Gostaria de discutir sobre cliente solicitou alterações.

Por favor, confirme sua disponibilidade.

Atenciosamente,
Brayan Santos",importante,1,2025-07-02T00:15:50.937816
37,newsletter@empresa.com,50% OFF em todos os produtos!,"Promoção especial para você!

50% OFF em todos os produtos!

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-07-08T16:53:39.681180
38,ofertas@marketplace.com,Cupom de desconto exclusivo,"Promoção especial para você!

Cupom de desconto exclusivo

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-06-15T02:06:26.067342
39,naoresponda@spam.com,Você foi selecionado para um prêmio,"🚨 URGENTE 🚨

Você foi selecionado para um prêmio

Não perca esta chance única!

Confirme seus dados: site-falso.com",spam,0,2025-06-16T07:54:51.547885
