subject,content
"Reunião de projeto amanhã","Olá, precisamos discutir os próximos passos do projeto. Por favor confirme sua presença às 14h."
"50% OFF em todos os produtos!","Promoção imperdível! Corra para nossa loja virtual e aproveite os descontos incríveis."
"Convite para festa de aniversário","Oi! Vai rolar festa no sábado às 20h. Você vem? Confirma aí por favor!"
"PARABÉNS! Você ganhou R$ 10.000!","Clique aqui para resgatar seu prêmio. Oferta por tempo limitado! Link: www.site-suspeito.com"
"Relatório mensal - Prazo hoje","Prezado, segue em anexo o relatório mensal. Preciso da sua aprovação até o fim do dia."
"Liquidação de fim de ano","Últimas peças com até 70% de desconto. Não perca esta oportunidade única!"
"Consulta médica amanhã","Oi querida, lembrete da sua consulta amanhã às 10h. Não esqueça de levar os exames."
"Ganhe dinheiro em casa","Trabalhe de casa e ganhe até R$ 5.000 por mês. Clique aqui para saber mais!"
"Feedback sobre apresentação","Olá, gostaria de dar um feedback sobre sua apresentação ontem. Quando podemos conversar?"
"Cashback de 20% em compras","Aproveite nosso programa de cashback e ganhe dinheiro de volta em suas compras."
